id,title,authors,countries,first_year_published,Title
124,Charlotte's Web,E. B. White,American,1952.0,charlotte's web
206,Vanity Fair,William Makepeace Thackeray,British,1848.0,vanity fair
601,Antigone,Sophocles,Greek,-442.0,antigone
265,The Tin Drum,Günter Grass,German,1959.0,tin drum
330,Tess of the d'Urbervilles,Thomas Hardy,British,1891.0,tess of d'urbervilles
481,Hamlet,William Shakespeare,British,1601.0,hamlet
1409,The Master and Margarita,Mikhail Bulgakov,Russian,1966.0,master and margarita
110,Rebecca,Daphne du Maurier,British,1938.0,rebecca
192,Robinson Crusoe,Daniel Defoe,British,1719.0,robinson crusoe
448,Faust,Johann Wolfgang von Goethe,German,1808.0,faust
96,Under the Volcano,Malcolm Lowry,British,1947.0,under volcano
691,Silent Spring,Rachel Carson,American,1962.0,silent spring
3041,The Waste Land,T. S. Eliot,British,1965.0,waste land
443,The Possessed,Fyodor Dostoevsky,Russian,1872.0,possessed
2027,The Little Prince,Antoine de Saint-Exupéry,French,1943.0,little prince
886,On the Origin of Species,Charles Darwin,British,1859.0,on origin of species
20,A Clockwork Orange,Anthony Burgess,British,1962.0,clockwork orange
371,The Brief Wondrous Life of Oscar Wao,Junot Diaz,Dominican,2007.0,brief wondrous life of oscar wao
953,Dracula,Bram Stoker,British,1897.0,dracula
449,Dead Souls,Nikolai Gogol,Russian,1842.0,dead souls
731,The Autobiography of Malcolm X,Alex Haley,American,1965.0,autobiography of malcolm x
914,Journey to the End of The Night,Louis-Ferdinand Céline,French,1932.0,journey to end of night
3,American Pastoral,Philip Roth,American,1997.0,american pastoral
931,Fathers and Sons,Ivan Turgenev,Russian,1862.0,fathers and sons
336,Treasure Island,Robert Louis Stevenson,British,1881.0,treasure island
12,The Big Sleep,Raymond Chandler,American,1939.0,big sleep
157,In Cold Blood,Truman Capote,American,1966.0,in cold blood
22,The Corrections,Jonathan Franzen,American,2001.0,corrections
818,The Diary of a Young Girl,Anne Frank,Dutch,1944.0,diary of young girl
113,Little Women,Louisa May Alcott,American,1868.0,little women
76,"Rabbit, Run",John Updike,American,1960.0,"rabbit, run"
455,The Castle,Franz Kafka,Czech,1926.0,castle
469,The Tale of Genji,Murasaki Shikibu,Japanese,1000.0,tale of genji
167,Orlando: A Biography,Virginia Woolf,British,1928.0,orlando
220,The Picture of Dorian Gray,Oscar Wilde,Irish,1890.0,picture of dorian gray
318,Fairy Tales and Stories,Hans Christian Anderson,Danish,1843.0,fairy tales and stories
99,White Teeth,Zadie Smith,British,2000.0,white teeth
2,All the King's Men,Robert Penn Warren,American,1946.0,all king's men
2560,Poems of Emily Dickinson,Emily Dickinson,American,1955.0,poems of emily dickinson
424,Doctor Zhivago,Boris Pasternak,Russian,1957.0,doctor zhivago
14,Blood Meridian,Cormac McCarthy,American,1985.0,blood meridian
168,Sons and Lovers,D. H. Lawrence,British,1913.0,sons and lovers
111,The Wind in the Willows,Kenneth Grahame,British,1908.0,wind in willows
104,The Hitchhiker's Guide to the Galaxy,Douglas Adams,British,1979.0,hitchhiker's guide to galaxy
320,Decameron,Giovanni Boccaccio,Italian,1350.0,decameron
156,Howards End,E. M. Forster,British,1910.0,howards end
33,The Golden Notebook,Doris Lessing,British,1962.0,golden notebook
499,The Remains of the Day,Kazuo Ishiguro,British,1989.0,remains of day
1351,All Quiet on the Western Front,Erich Maria Remarque,German,1929.0,all quiet on western front
1067,The Republic,Plato,Greek,-380.0,republic
203,The Count of Monte Cristo,Alexandre Dumas,French,1844.0,count of monte cristo
100,Wide Sargasso Sea,Jean Rhys,British,1966.0,wide sargasso sea
202,The Charterhouse of Parma,Stendhal,French,1839.0,charterhouse of parma
653,The Complete Stories of Flannery O'Connor,Flannery O'Connor,American,1971.0,complete stories of flannery o'connor
181,Lord Jim,Joseph Conrad,British,1900.0,lord jim
2010,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,American,1971.0,fear and loathing in las vegas
500,The Unbearable Lightness of Being,Milan Kundera,Czech,1984.0,unbearable lightness of being
370,The Road,Cormac McCarthy,American,2006.0,road
2334,Stories of Ernest Hemingway,Ernest Hemingway,American,1987.0,stories of ernest hemingway
348,A Confederacy of Dunces,John Kennedy Toole,American,1980.0,confederacy of dunces
141,The Call of the Wild,Jack London,American,1903.0,call of wild
1377,The Bell Jar,Sylvia Plath,American,1963.0,bell jar
465,Buddenbrooks,Thomas Mann,German,1901.0,buddenbrooks
155,My Antonia,Willa Cather,American,1918.0,my antonia
368,Gilead,Marilynne Robinson,American,2004.0,gilead
364,The Amazing Adventures of Kavalier and Clay,Michael Chabon,American,2000.0,amazing adventures of kavalier and clay
634,Disgrace,J M Coetzee,South African,1999.0,disgrace
435,The Complete Sherlock Holmes,Arthur Conan Doyle,British,1887.0,complete sherlock holmes
475,Gargantua and Pantagruel,Francois Rabelais,French,1532.0,gargantua and pantagruel
284,Austerlitz,W. G. Sebald,German,2001.0,austerlitz
75,The Prime of Miss Jean Brodie,Muriel Spark,British,1961.0,prime of miss jean brodie
218,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,British,1886.0,strange case of dr. jekyll and mr. hyde
349,Rabbit Is Rich,John Updike,American,1981.0,rabbit is rich
955,The Hound of the Baskervilles,Arthur Conan Doyle,British,1901.0,hound of baskervilles
58,The Moviegoer,Walker Percy,American,1961.0,moviegoer
597,2666,Roberto Bolaño,Chilean,2004.0,2666
536,Dune,Frank Herbert,American,1965.0,dune
470,The Man Without Qualities,Robert Musil,Austrian,1930.0,man without qualities
224,Nostromo,Joseph Conrad,British,1904.0,nostromo
418,Collected Poems of W. B. Yeats,W. B. Yeats,Irish,1933.0,collected poems of w. b. yeats
136,Song of Solomon,Toni Morrison,American,1977.0,song of solomon
1275,The Wind-Up Bird Chronicle,Haruki Murakami,Japanese,1994.0,wind-up bird chronicle
446,Love in the Time of Cholera,Gabriel Garcia Marquez,Colombian,1985.0,love in time of cholera
600,Oedipus at Colonus,Sophocles,Greek,-401.0,oedipus at colonus
54,Lucky Jim,Kingsley Amis,British,1954.0,lucky jim
123,Of Mice and Men,John Steinbeck,American,1937.0,of mice and men
472,Metamorphoses,Ovid,Roman,8.0,metamorphoses
598,Oresteia,Aeschylus,Greek,-458.0,oresteia
2588,Doctor Faustus,Thomas Mann,German,1947.0,doctor faustus
2153,A Tree Grows in Brooklyn,Betty Smith,American,1943.0,tree grows in brooklyn
445,A Sentimental Education,Gustave Flaubert,French,1869.0,sentimental education
440,Medea,Euripides,Greek,-431.0,medea
173,Women in Love,D. H. Lawrence,British,1920.0,women in love
197,Dangerous Liaison,Pierre Choderlos de Laclos,French,1782.0,dangerous liaison
562,Bleak House,Charles Dickens,British,1852.0,bleak house
2395,The Flowers of Evil,Charles Baudelaire,French,1857.0,flowers of evil
954,The Three Musketeers,Alexandre Dumas,French,1844.0,three musketeers
