Title,Author,Rank,Genre,Year,Approx. sales (in millions),Bestseller
swiss family robinson,Johann David Wyss,98,Fiction,,<10,No
bleak house,Charles Dickens,99,Fiction,1852.0,<10,No
père goriot,Honoré de Balzac,100,bildung,,<10,No
utopia,Thomas More,101,Fiction,1516.0,<10,No
"history of tom jones, a foundling",Henry Fielding,102,Fiction,,<10,No
harry potter and the prisoner of azkaban,J.K. Rowling,103,fantasy,,50-100,Yes
kim,Rudyard Kipling,104,action,1901.0,<10,No
sound and the fury,William Faulkner,105,Fiction,1929.0,<10,No
harry potter and the goblet of fire,J.K. Rowling,106,fantasy,2000.0,50-100,Yes
mill on the floss,George Eliot,107,Fiction,1860.0,<10,No
a wrinkle in time,Madeleine L'Engle,108,scifi,1962.0,10-20,Yes
hound of the baskervilles,Arthur Conan Doyle,109,mystery,1901.0,<10,No
lord of the rings,J.R.R. Tolkien,110,fantasy,1954.0,<10,No
war of the worlds,H.G. Wells,111,scifi,1898.0,<10,No
middlemarch,George Eliot,112,Fiction,1871.0,<10,No
age of innocence,Edith Wharton,113,Fiction,1920.0,<10,No
color purple,Alice Walker,114,Fiction,1982.0,<10,No
northanger abbey,Jane Austen,115,romance,,<10,No
east of eden,John Steinbeck,116,Fiction,1952.0,<10,No
on the road,Jack Kerouac,117,autobio,1957.0,<10,No
catch-22,Joseph Heller,118,war,1961.0,10-20,Yes
around the world in eighty days,Jules Verne,119,action,1873.0,<10,No
hard times,Charles Dickens,120,Fiction,1854.0,<10,No
beloved,Toni Morrison,121,history,1987.0,<10,No
mrs. dalloway,Virginia Woolf,122,Fiction,1925.0,<10,No
to the lighthouse,Virginia Woolf,123,Fiction,1927.0,<10,No
magician's nephew,C.S. Lewis,124,fantasy,1955.0,<10,No
harry potter and the order of the phoenix,J.K. Rowling,125,fantasy,2003.0,50-100,Yes
sun also rises,Ernest Hemingway,126,history,1926.0,<10,No
good earth,Pearl S. Buck,127,Fiction,1931.0,<10,No
silas marner,George Eliot,128,Fiction,1861.0,<10,No
love in the time of cholera,Gabriel García Márquez,129,romance,1985.0,<10,No
rebecca,Daphne Du Maurier,130,romance,1938.0,20-50,Yes
jude the obscure,Thomas Hardy,131,Fiction,1895.0,<10,No
twilight,Stephenie Meyer,132,romance,2005.0,<10,No
a passage to india,E.M. Forster,133,political,1924.0,<10,No
plague,Albert Camus,134,Fiction,1947.0,10-20,Yes
nicholas nickleby,Charles Dickens,135,bildung,1838.0,<10,No
pearl,John Steinbeck,136,Fiction,1947.0,<10,No
ethan frome,Edith Wharton,137,Fiction,1911.0,<10,No
tale of genji,Murasaki Shikibu,138,Fiction,1000.0,<10,No
giver,Lois Lowry,139,scifi,1993.0,10-20,Yes
alchemist,Paulo Coelho,140,Fiction,1988.0,50-100,Yes
strange case of dr. jekyll and mr. hyde,Robert Louis Stevenson,141,Fiction,1886.0,<10,No
robinson crusoe,Daniel Defoe,142,action,1719.0,<10,No
tender is the night,F. Scott Fitzgerald,143,Fiction,1934.0,<10,No
idiot,Fyodor Dostoyevsky,144,history,1868.0,<10,No
hatchet,Gary Paulsen,145,action,1987.0,<10,No
kite runner,Khaled Hosseini,146,bildung,2003.0,20-50,Yes
one flew over the cuckoo's nest,Ken Kesey,147,Fiction,1962.0,<10,No
portrait of a lady,Henry James,148,Fiction,1881.0,<10,No
outsiders,S.E. Hinton,149,Fiction,1967.0,10-20,Yes
ben-hur,Lew Wallace,150,history,1880.0,<10,No
mayor of casterbridge,Thomas Hardy,151,Fiction,1886.0,<10,No
"cry, beloved country",Alan Paton,152,political,,<10,No
last battle,C.S. Lewis,153,fantasy,1956.0,<10,No
captains courageous,Rudyard Kipling,154,bildung,,<10,No
castle,Franz Kafka,155,allegories,1926.0,<10,No
metamorphosis,Franz Kafka,156,Fiction,1915.0,<10,No
magic mountain,Thomas Mann,157,bildung,1924.0,<10,No
james and the giant peach,Roald Dahl,158,Fiction,1961.0,20-50,Yes
horse and his boy,C.S. Lewis,159,fantasy,1954.0,<10,No
angels and demons,Dan Brown,160,thrillers,,<10,No
voyage of the dawn treader,C.S. Lewis,161,fantasy,1952.0,<10,No
bell jar,Sylvia Plath,162,Fiction,1963.0,<10,No
women in love,D.H. Lawrence,163,Fiction,1920.0,<10,No
yearling,Marjorie Kinnan Rawlings,164,Fiction,1938.0,<10,No
o pioneers!,Willa Cather,165,Fiction,1913.0,<10,No
handmaid's tale,Margaret Atwood,166,Fiction,1985.0,<10,No
moonstone,Wilkie Collins,167,mystery,1868.0,<10,No
old curiosity shop,Charles Dickens,168,Fiction,1941.0,<10,No
little dorrit,Charles Dickens,169,Fiction,1857.0,<10,No
prince caspian,C.S. Lewis,170,fantasy,1951.0,<10,No
sister carrie,Theodore Dreiser,171,Fiction,1900.0,<10,No
silver chair,C.S. Lewis,172,fantasy,1953.0,<10,No
hunger games,Suzanne Collins,173,scifi,2008.0,20-50,Yes
this side of paradise,F. Scott Fitzgerald,174,bildung,1920.0,<10,No
eugénie grandet,Honoré de Balzac,175,allegories,,<10,No
of human bondage,W. Somerset Maugham,176,bildung,1915.0,<10,No
dream of the red chamber,Cao Xueqin,177,Fiction,1791.0,>100,Yes
life of pi,Yann Martel,178,Fiction,2001.0,10-20,Yes
harry potter and the deathly hallows,J.K. Rowling,179,fantasy,2007.0,50-100,Yes
invisible man,Ralph Ellison,180,Fiction,1952.0,<10,No
steppenwolf,Hermann Hesse,181,Fiction,1927.0,<10,No
sorrows of young werther,Johann Wolfgang von Goethe,182,autobio,1774.0,<10,No
bridge to terabithia,Katherine Paterson,183,fantasy,1977.0,<10,No
the invisible man,H.G. Wells,184,Fiction,1897.0,<10,No
holes,Louis Sachar,185,Fiction,1998.0,<10,No
siddhartha,Hermann Hesse,186,Fiction,1922.0,<10,No
a tree grows in brooklyn,Betty Smith,187,Fiction,1943.0,<10,No
"through the looking-glass, and what alice found there",Lewis Carroll,188,fantasy,,<10,No
in cold blood,Truman Capote,189,Fiction,1966.0,<10,No
house of the spirits,Isabel Allende,190,Fiction,1982.0,<10,No
adam bede,George Eliot,191,romance,1859.0,<10,No
betrothed,Alessandro Manzoni,192,history,1842.0,<10,No
book thief,Markus Zusak,193,history,2005.0,10-20,Yes
their eyes were watching god,Zora Neale Hurston,194,Fiction,1937.0,<10,No
one day in the life of ivan denisovich,Aleksandr Isaevich Solzhenitsyn,195,Fiction,1962.0,<10,No
sea wolf,Jack London,196,Fiction,,<10,No
catching fire,Suzanne Collins,197,scifi,,20-50,Yes
"roll of thunder, hear my cry",Mildred D. Taylor,198,history,1976.0,<10,No
death comes for the archbishop,Willa Cather,199,history,1927.0,<10,No
house of mirth,Edith Wharton,200,Fiction,1905.0,<10,No
light in august,William Faulkner,201,Fiction,1932.0,<10,No
pickwick papers,Charles Dickens,202,Fiction,1837.0,<10,No
remembrance of things past,Marcel Proust,203,autobio,,<10,No
barchester towers and the warden,Anthony Trollope,204,Fiction,,<10,No
bridge of san luis rey,Thornton Wilder,205,history,1927.0,<10,No
help,Kathryn Stockett,206,history,2009.0,10-20,Yes
murder on the orient express,Agatha Christie,207,mystery,1934.0,<10,No
lovely bones,Alice Sebold,208,Fiction,2002.0,10-20,Yes
appeal,John Grisham,209,Fiction,,<10,No
dombey and son,Charles Dickens,210,Fiction,1848.0,<10,No
slaughterhouse-five,Kurt Vonnegut,211,scifi,1969.0,<10,No
an american tragedy,Theodore Dreiser,212,romance,1925.0,<10,No
bluest eye,Toni Morrison,213,bildung,1970.0,<10,No
little house in the big woods,Laura Ingalls Wilder,214,history,,<10,No
pippi longstocking,Astrid Lindgren,215,Fiction,1945.0,<10,No
germinal,Émile Zola,216,political,1885.0,<10,No
heart is a lonely hunter,Carson McCullers,217,Fiction,1940.0,<10,No
woman in white,Wilkie Collins,218,Fiction,1859.0,<10,No
"absalom, absalom!",William Faulkner,219,Fiction,1936.0,<10,No
a painted house,John Grisham,220,Fiction,,<10,No
girl with the dragon tattoo,Stieg Larsson,221,thrillers,2005.0,20-50,Yes
a room with a view,E.M. Forster,222,Fiction,1908.0,<10,No
watership down,Richard Adams,223,allegories,1972.0,50-100,Yes
memoirs of a geisha,Arthur Golden,224,history,1997.0,<10,No
our mutual friend,Charles Dickens,225,romance,1865.0,<10,No
babbitt,Sinclair Lewis,226,Fiction,1922.0,<10,No
red pony,John Steinbeck,227,bildung,,<10,No
all the king's men,Robert Penn Warren,228,political,1946.0,<10,No
things fall apart,Chinua Achebe,229,history,1958.0,20-50,Yes
lorna doone,R.D. Blackmore,230,history,,<10,No
johnny tremain,Esther Forbes,231,history,,<10,No
anne of avonlea,L.M. Montgomery,232,Fiction,,<10,No
tuck everlasting,Natalie Babbitt,233,fantasy,,<10,No
bfg,Roald Dahl,234,Fiction,1982.0,<10,No
cannery row,John Steinbeck,235,romance,1945.0,<10,No
joy luck club,Amy Tan,236,Fiction,1989.0,<10,No
silmarillion,J.R.R. Tolkien,237,fantasy,,<10,No
roots,Alex Haley,238,Fiction,1977.0,<10,No
little house on the prairie,Laura Ingalls Wilder,239,autobio,,<10,No
native son,Richard Wright,240,Fiction,1940.0,<10,No
stuart little,E.B. White,241,action,,<10,No
cross fire,James Patterson,242,Fiction,,<10,No
power and the glory,Graham Greene,243,mystery,1940.0,<10,No
a clockwork orange,Anthony Burgess,244,scifi,1962.0,<10,No
phantom of the opera,Gaston Leroux,245,horror,1909.0,<10,No
martian chronicles,Ray Bradbury,246,scifi,1950.0,<10,No
road,Cormac McCarthy,247,Fiction,2006.0,<10,No
way of all flesh,Samuel Butler,248,Fiction,1903.0,<10,No
diary of a wimpy kid,Jeff Kinney,249,Fiction,,<10,No
villette,Charlotte Brontë,250,Fiction,1853.0,<10,No
curious incident of the dog in the night-time,Mark Haddon,251,mystery,2003.0,<10,No
mysterious island,Jules Verne,252,scifi,,<10,No
song of solomon,Toni Morrison,253,Fiction,1977.0,<10,No
nana,Émile Zola,254,Fiction,1880.0,<10,No
quo vadis,Henryk Sienkiewicz,255,history,1896.0,<10,No
main street,Sinclair Lewis,256,Fiction,1920.0,<10,No
matilda,Roald Dahl,257,Fiction,1988.0,10-20,Yes
lolita,Vladimir Vladimirovich Nabokov,258,romance,1955.0,50-100,Yes
paper towns,John Green,259,bildung,,<10,No
sounder,William H. Armstrong,260,Fiction,,<10,No
"are you there god? it's me, margaret",Judy Blume,261,Fiction,1970.0,<10,No
notebook,Nicholas Sparks,262,romance,1996.0,<10,No
from the mixed-up files of mrs. basil e. frankweiler,E.L. Konigsburg,263,Fiction,,<10,No
atlas shrugged,Ayn Rand,264,scifi,1957.0,<10,No
fountainhead,Ayn Rand,265,Fiction,1943.0,<10,No
number the stars,Lois Lowry,266,history,,<10,No
firm,John Grisham,267,Fiction,,<10,No
swann's way,Marcel Proust,268,autobio,,<10,No
ender's game,Orson Scott Card,269,scifi,1980.0,<10,No
name of the rose,Umberto Eco,270,history,1980.0,50-100,Yes
a time to kill,John Grisham,271,Fiction,,<10,No
water for elephants,Sara Gruen,272,romance,,<10,No
time machine,H.G. Wells,273,scifi,1895.0,<10,No
eragon,Christopher Paolini,274,fantasy,,<10,No
hitchhiker's guide to the galaxy,Douglas Adams,275,scifi,1979.0,10-20,Yes
buddenbrooks,Thomas Mann,276,Fiction,1901.0,<10,No
a thousand splendid suns,Khaled Hosseini,277,Fiction,2007.0,<10,No
witch of blackbird pond,Elizabeth George Speare,278,Fiction,,<10,No
and then there were none,Agatha Christie,279,mystery,1939.0,>100,Yes
a separate peace,John Knowles,280,history,1959.0,<10,No
breaking dawn,Stephenie Meyer,281,romance,,<10,No
as i lay dying,William Faulkner,282,Fiction,1930.0,<10,No
girl who played with fire,Stieg Larsson,283,thrillers,,<10,No
where the red fern grows,Wilson Rawls,284,bildung,1961.0,<10,No
le morte d'arthur,Thomas Malory,285,Fiction,1485.0,<10,No
mockingjay,Suzanne Collins,286,scifi,,20-50,Yes
pillars of the earth,Ken Follett,287,history,,10-20,Yes
persian letters,Montesquieu,288,Fiction,,<10,No
client,John Grisham,289,Fiction,,<10,No
sula,Toni Morrison,290,Fiction,1973.0,<10,No
tales of a fourth grade nothing,Judy Blume,291,Fiction,,<10,No
merry adventures of robin hood of great renown in nottinghamshire,Howard Pyle,292,Fiction,,<10,No
tortilla flat,John Steinbeck,293,Fiction,,<10,No
"look homeward, angel",Thomas Wolfe,294,Fiction,1929.0,<10,No
mystery of edwin drood,Charles Dickens,295,Fiction,,<10,No
brideshead revisited,Evelyn Waugh,296,Fiction,1945.0,<10,No
pelican brief,John Grisham,297,mystery,,<10,No
atonement,Ian McEwan,298,Fiction,2002.0,<10,No
washington square,Henry James,299,Fiction,,<10,No
like water for chocolate,Laura Esquivel,300,romance,1989.0,<10,No
golden compass,Philip Pullman,301,Fiction,,<10,No
secret life of bees,Sue Monk Kidd,302,Fiction,,<10,No
fault in our stars,John Green,303,romance,2012.0,20-50,Yes
nostromo,Joseph Conrad,304,political,1904.0,<10,No
finnegans wake,James Joyce,305,Fiction,1939.0,<10,No
brethren,John Grisham,306,thrillers,,<10,No
coraline,Neil Gaiman,307,Fiction,2002.0,<10,No
heart of darkness,Joseph Conrad,308,Fiction,1899.0,<10,No
on the banks of plum creek,Laura Ingalls Wilder,309,autobio,,<10,No
rebecca of sunnybrook farm,Kate Douglas Smith Wiggin,310,Fiction,,<10,No
ambassadors,Henry James,311,Fiction,1903.0,<10,No
secret agent,Joseph Conrad,312,political,1907.0,<10,No
house on mango street,Sandra Cisneros,313,bildung,1984.0,<10,No
go tell it on the mountain,James Baldwin,314,bildung,1953.0,<10,No
testament,John Grisham,315,thrillers,,<10,No
clan of the cave bear,Jean M. Auel,316,history,1980.0,<10,No
cranford,Elizabeth Cleghorn Gaskell,317,Fiction,1851.0,<10,No
because of winn-dixie,Kate DiCamillo,318,Fiction,,<10,No
my side of the mountain,Jean Craighead George,319,Fiction,,<10,No
runaway jury,John Grisham,320,thrillers,,<10,No
mouse and the motorcycle,Beverly Cleary,321,Fiction,,<10,No
lost symbol,Dan Brown,322,thrillers,,20-50,Yes
forsyte saga,John Galsworthy,323,Fiction,1922.0,<10,No
gone girl,Gillian Flynn,324,thrillers,2012.0,20-50,Yes
lightning thief,Rick Riordan,325,fantasy,,<10,No
