Title,Author,Rank,Genre,Year,Approx. sales (in millions),Bestseller
slave dancer,Paula Fox,446,history,,<10,No
harry potter and the half-blood prince,J.K. Rowling,447,fantasy,2005.0,50-100,Yes
inkheart,Cornelia Funke,448,fantasy,,<10,No
ramona and her father,Beverly Cleary,449,Fiction,,<10,No
inkspell,Cornelia Funke,450,fantasy,,<10,No
ramona the pest,Beverly Cleary,451,Fiction,,<10,No
walk two moons,Sharon Creech,452,bildung,,<10,No
miss peregrine's home for peculiar children,Ransom Riggs,453,Fiction,,<10,No
chocolate war,Robert Cormier,454,bildung,,<10,No
sophie's choice,William Styron,455,bildung,1979.0,<10,No
looking for alaska,John Green,456,bildung,2005.0,<10,No
breakfast at tiffany's,Truman Capote,457,Fiction,1958.0,<10,No
razor's edge,W. Somerset Maugham,458,bildung,1944.0,<10,No
dreamcatcher,Stephen King,459,horror,,<10,No
orlando,Virginia Woolf,460,history,1923.0,<10,No
things they carried,Tim O'Brien,461,Fiction,1990.0,<10,No
little town on the prairie,Laura Ingalls Wilder,462,history,,<10,No
nights in rodanthe,Nicholas Sparks,463,romance,,<10,No
amber spyglass,Philip Pullman,464,fantasy,2000.0,<10,No
miraculous journey of edward tulane,Kate DiCamillo,465,Fiction,,<10,No
flatland,Edwin A. Abbott,466,Fiction,1884.0,<10,No
diary of a wimpy kid,Jeff  Kinney,467,Fiction,,<10,No
memory keeper's daughter,Kim Edwards,468,Fiction,,<10,No
wedding,Nicholas Sparks,469,romance,,<10,No
fried green tomatoes at the whistle-stop cafe,Fannie Flagg,470,Fiction,,<10,No
cricket in times square,George Selden,471,Fiction,,<10,No
phantom tollbooth,Norton Juster,472,fantasy,,<10,No
rob roy,Walter Scott,473,history,1817.0,<10,No
death of ivan ilych,Leo Tolstoy,474,Fiction,,<10,No
alex cross's trial,James Patterson,475,thrillers,,<10,No
kenilworth,Walter Scott,476,history,,<10,No
life and opinions of tristram shandy,Laurence Sterne,477,Fiction,,<10,No
remains of theday,Kazuo Ishiguro,478,history,,<10,No
"m.c. higgins, great",Virginia Hamilton,479,bildung,,<10,No
call it courage,Armstrong Sperry,480,history,,<10,No
go set a watchman,Harper Lee,481,Fiction,,<10,No
bleachers,John Grisham,482,Fiction,,<10,No
elijah of buxton,Christopher Paul Curtis,483,Fiction,,<10,No
swimsuit,James Patterson,484,mystery,,<10,No
cat's cradle,Kurt Vonnegut,485,scifi,1963.0,<10,No
caine mutiny,Herman Wouk,486,Fiction,1951.0,<10,No
heart of the matter,Graham Greene,487,Fiction,1948.0,<10,No
"harriet, the spy",Louise Fitzhugh,488,mystery,,<10,No
darkness at noon,Arthur Koestler,489,history,1940.0,<10,No
a prayer for owen meany,John Irving,490,Fiction,1989.0,<10,No
god of small things,Arundhati Roy,491,Fiction,1997.0,<10,No
associate,John Grisham,492,thrillers,,<10,No
shack,William P. Young,493,Fiction,2007.0,20-50,Yes
naked and the dead,Norman Mailer,494,history,,<10,No
sea of monsters,Rick Riordan,495,fantasy,,<10,No
stranger in a strange land,Robert A. Heinlein,496,scifi,1961.0,<10,No
vision in white,Nora Roberts,497,romance,,<10,No
whipping boy,Sid Fleischman,498,action,,<10,No
room,Emma Donoghue,499,Fiction,,<10,No
deception point,Dan Brown,500,political,,<10,No
