Title,Year
sense of an ending,2011.0
line of beauty,2004.0
"i, claudius",1934.0
suppliants,-470.0
persians,-472.0
seven against thebes,-467.0
brideshead revisited,1945.0
of human bondage,1915.0
malone dies,1951.0
adventures of augie march,1953.0
cloud atlas,2004.0
man who loved children,1940.0
"cry, the beloved country",1948.0
pippi longstocking,1945.0
wolf hall,2009.0
selected stories of alice munro,1996.0
maltese falcon,1930.0
complete poems of giacomo leopardi,1946.0
moll flanders,1772.0
philoctetes,-409.0
ajax,-450.0
women of trachis,-410.0
killer angels,1974.0
possession,1990.0
red badge of courage,1895.0
poisonwood bible,1998.0
tarzan of the apes,1912.0
death of virgil,1945.0
counterfeiters,1925.0
lady chatterley's lover,1928.0
gilead,2004.0
jacques the fatalist and his master,1796.0
zorba the greek,1946.0
confusions of young törless,1906.0
main street,1920.0
"so long, see you tomorrow",1981.0
war of the worlds,1898.0
good earth,1931.0
once and future king,1958.0
our mutual friend,1865.0
humboldt's gift,1975.0
secret history,1992.0
known world,2003.0
god of small things,1997.0
all the pretty horses,1992.0
darkness at noon,1940.0
stories of guy de maupassant,1880.0
man of property,1906.0
in chancery,1920.0
to let,1921.0
awakening,1920.0
indian summer of a forsyte,1918.0
call it sleep,1934.0
go tell it on the mountain,1953.0
naked lunch,1959.0
horse and his boy,1954.0
prince caspian,1951.0
voyage of the dawn treader,1952.0
silver chair,1953.0
magician's nephew,1955.0
last battle,1956.0
lysistrata,-411.0
watership down,1972.0
tropic of cancer,1934.0
infinite jest,1996.0
a handful of dust,1934.0
schindler's list,1982.0
complete poetry and prose of william blake,1827.0
nausea,1938.0
bouvard et pécuchet,1881.0
war of the end of the world,1981.0
finnegans wake,1939.0
a wrinkle in time,1962.0
woman in white,1859.0
where the wild things are,1963.0
bartleby the scrivener,1853.0
name of the rose,1980.0
loving,1945.0
maldoror,1869.0
half of a yellow sun,2007.0
a suitable boy,1994.0
regeneration,1991.0
rainbow,1915.0
kristin lavransdatter,1920.0
duino elegies,1923.0
wizard of oz,1900.0
household tales,1812.0
collected poems of dylan thomas,1952.0
devil to pay in the backlands,1956.0
cold comfort farm,1932.0
complete poems,1979.0
death in venice,1912.0
oblomov,1859.0
death of ivan ilyich,1886.0
english patient,1992.0
mayor of casterbridge,1886.0
crash,1973.0
money,1984.0
breakfast at tiffany's,1958.0
journey to the west,1592.0
talented mr. ripley,1950.0
lover,1984.0
adventures of oliver twist,1837.0
joy luck club,1989.0
birds,-414.0
three sisters,1901.0
man's fate,1934.0
godfather,1969.0
hunchback of notre-dame,1831.0
labyrinths,1962.0
one day in the life of ivan denisovich,1962.0
foundation,1951.0
posthumous memoirs of bras cubas,1881.0
way of all flesh,1903.0
old wives' tale,1908.0
ferdydurke,1937.0
a visit from goon squad,2010.0
wings of the dove,1902.0
book thief,2005.0
clouds,-423.0
tale of peter rabbit,1902.0
tartar steppe,1940.0
notes from the underground,1864.0
bastard out of carolina,1993.0
nw,2012.0
giovanni's room,1956.0
gypsy ballads,1928.0
a bend in the river,1979.0
snow falling on cedars,1994.0
ivanhoe,1820.0
dream of the red chamber,1791.0
things they carried,1990.0
neuromancer,1984.0
thorn birds,1977.0
pilgrim's progress,1678.0
collected poems of t.s. eliot,1936.0
life of pi,2001.0
watchmen,1986.0
le morte d'arthur,1485.0
anniversaries,1970.0
love medicine,1984.0
last of the mohicans,1826.0
poems of w. h. auden,1930.0
thérèse raquin,1867.0
ragtime,1975.0
his dark materials,1995.0
radetzky march,1932.0
germinal,1885.0
uncle tom's cabin,1852.0
"winesburg, ohio",1919.0
sorrows of young werther,1774.0
last chronicle of barset,1867.0
corelli's mandolin,1993.0
bacchae,-405.0
do androids dream of electric sheep?,1968.0
betrothed,1842.0
a hero of our time,1840.0
moon and the bonfires,1949.0
we,1921.0
unnamable,1953.0
sophie's choice,1979.0
day of the locust,1939.0
custom of the country,1913.0
stories of raymond carver,1988.0
cat's cradle,1963.0
bean trees,1988.0
"carry on, jeeves",1925.0
satanic verses,1988.0
cherry orchard,1904.0
phantom tollbooth,
razor's edge,1944.0
and then there were none,1939.0
naked dead,1948.0
new grub street,1891.0
alchemist,1988.0
poems of john keats,1821.0
invisible cities,1972.0
phèdre,1677.0
rubaiyat of omar khayyam,1859.0
silas marner,1861.0
way we live now,1875.0
cold mountain,1997.0
six characters in search of an author,1921.0
savage detectives,1998.0
temple of the golden pavilion,1956.0
secret agent,1907.0
"life, a user's manual",1978.0
alexandria quartet,1957.0
a fine balance,1995.0
a good man is hard to find,1955.0
under the net,1954.0
nibelungenlied,1200.0
mourning becomes electra,1931.0
french lieutenant's woman,1969.0
"jimmy corrigan, the smartest kid on earth",2001.0
scoop,1938.0
in our time,1925.0
lusiad,1572.0
sister carrie,1900.0
