Title,Year
smell of sadness,1980.0
surfacing,1972.0
solitude,1906.0
green hat,1924.0
indian summer,1857.0
house in the uplands,1946.0
by the open sea,1890.0
"city, sister, silver",1994.0
deep river,1993.0
artamonov business,1925.0
patterns of childhood,1976.0
immoralist,1902.0
clay machine-gun,1996.0
enigma of arrival,1987.0
dirty havana trilogy,1998.0
disobedience,1948.0
quicksand,1928.0
dusklands,1974.0
none but the brave,1901.0
viceroys,1894.0
homo faber,1957.0
cement garden,1978.0
trick is to keep breathing,1989.0
charwoman's daughter,1912.0
a day off,1933.0
professor martens' departure,1984.0
all about h. hatterr,1948.0
fanny hill,1748.0
garden where the brass band played,1950.0
la celestina,1499.0
year of the hare,1975.0
harvesters,1941.0
labyrinth of solitude,1950.0
gimmick!,1989.0
thomas of reading,1612.0
joseph andrews,1742.0
like life,1990.0
"julie, or the new heloise",1761.0
alamut,1938.0
stone junction,1990.0
justine,1791.0
adventures of caleb williams,1794.0
mansfield park,1814.0
camilla,1796.0
in a glass darkly,1872.0
phineas finn,1867.0
judge and his hangman,1952.0
mother,1907.0
around the world in eighty days,1873.0
amok,1922.0
pepita jimenez,1874.0
life of lazarillo de tormes,1554.0
master,2004.0
quo vadis,1896.0
remembering babylon,1993.0
deep rivers,1958.0
some experiences of an irish r. m.,1899.0
i thought of daisy,1929.0
house on the borderland,1908.0
"spring flowers, spring frost",2000.0
forbidden kingdom,1932.0
journey to the alcarria,1948.0
a void,1969.0
daughter,1990.0
anton reiser,1785.0
so long a letter,1979.0
jacob the liar,1969.0
mr norris changes trains,1935.0
"waiting for the dark, waiting for the light",1993.0
summer in baden-baden,1981.0
vertigo,1990.0
crow road,1992.0
erewhon,1872.0
children's book,2009.0
underdogs,1916.0
museum of unconditional surrender,1999.0
max havelaar,1860.0
indigo,1992.0
laws,1991.0
american rust,2009.0
thaïs,1890.0
uncle petros and goldbach's conjecture,1992.0
keep the aspidistra flying,1936.0
under fire,1916.0
"they shoot horses, don't they?",1935.0
transit,1942.0
requiem for a dream,1978.0
"this way for the gas, ladies and gentlemen",1948.0
unfortunate traveller,1594.0
ancestral voices,1986.0
adventures and misadventures of maqroll,1993.0
house of ulloa,1886.0
tarka the otter,1927.0
pigeon,1987.0
tin flute,1945.0
exercises in style,1963.0
devil and miss prym,2000.0
everything that rises must converge,1965.0
thin man,1932.0
looking for possible dance,1993.0
invention of curried sausage,1993.0
democracy,1984.0
le diable au corps,1923.0
pharaoh,1897.0
kingdom of this world,1949.0
case of sergeant grischa,1927.0
her privates we,1929.0
locus solus,1914.0
ashes and diamonds,1948.0
virgin in the garden,1978.0
commandant,1975.0
cathedral,1968.0
passing,1929.0
club dumas,1992.0
camera obscura,1839.0
miss pettigrew lives for a day,1938.0
asphodel,1992.0
fado alexandrino,1983.0
pnin,1957.0
troubling love,1995.0
piano teacher,1983.0
cat and mouse,1961.0
vice-consul,1966.0
our lady of the assassins,1994.0
no one writes to the colonel,1961.0
wars,1977.0
rituals,1980.0
return to oegstgeest,1965.0
day of the dolphin,1967.0
great indian novel,1989.0
memoirs of martinus scriblerus,1741.0
faceless killers,1991.0
sorrow of belgium,1983.0
southern seas,1979.0
silk,1996.0
fool's gold,1979.0
virgin suicides,1993.0
"thank you, jeeves",1934.0
pallieter,1916.0
all souls' day,1998.0
sexing the cherry,1989.0
une vie,1883.0
witness,1983.0
on the heights of despair,1934.0
margot and the angels,
death sentence,1948.0
what i loved,2003.0
what a carve up!,1993.0
blind side of the heart,2007.0
heretic,1998.0
singapore grip,1978.0
as if i am not there,1999.0
guide,1958.0
in the heart of the country,1977.0
crossfire,1998.0
impressions of africa,1910.0
kiss of the spider woman,1976.0
in search of klingsor,1999.0
eyeless in gaza,1936.0
pit and the pendulum,1842.0
quest for christa t.,1968.0
matigari,1986.0
torrents of spring,1872.0
nose,1836.0
against the day,2006.0
pamela,
king solomon's mines,1885.0
adventures of peregrine pickle,1751.0
far from the madding crowd,1874.0
alias grace,1996.0
soldiers of salamis,2001.0
cutter and bone,1976.0
birds,1957.0
measuring the world,2005.0
moon palace,1989.0
at the mountains of madness,1936.0
war with the newts,1936.0
nemesis,2010.0
nervous conditions,1988.0
summer will show,1936.0
memoirs of a peasant boy,1961.0
in parenthesis,1937.0
whatever,1994.0
last world,1988.0
time of indifference,1929.0
melmoth the wanderer,1820.0
professor's house,1925.0
disappearance,1993.0
on the edge of reason,1938.0
living and the dead,1941.0
marriage plot,2011.0
santa evita,1995.0
tale of the bamboo cutter,1592.0
l'abbé c,1950.0
almost transparent blue,1976.0
holder of the world,1993.0
midnight examiner,1990.0
lonely londoners,1956.0
fan man,1974.0
possessing the secret of joy,1992.0
empire of the sun,1984.0
who do you think you are?,1978.0
morvern callar,1995.0
billiards at half-past nine,1959.0
blaming,1976.0
return of philip latinowicz,1932.0
strait is the gate,1909.0
delta of venus,1977.0
successor,2003.0
il piacere,1889.0
rob roy,1817.0
insatiability,1930.0
monica,1930.0
fall of the house of usher,1839.0
girls of slender means,1963.0
path to the nest of spiders,1947.0
fantômas,1911.0
butcher boy,1992.0
apes of god,1930.0
legend,1984.0
young man,1984.0
eva trout,1968.0
half of man is woman,1985.0
monk,1796.0
hawksmoor,1985.0
murder must advertise,1933.0
celestial harmonies,2000.0
to each his own,1966.0
joseph and his brothers,1933.0
castle rackrent,1800.0
la bête humaine,1890.0
faces in water,1961.0
inland,1989.0
pierre et jean,1888.0
tent of miracles,1969.0
case of comrade tulayev,1949.0
vathek,1786.0
passion according to g.h.,1964.0
island of doctor moreau,1896.0
nana,1880.0
blind man with a pistol,1969.0
elegance of the hedgehog,2006.0
a pale view of hills,1982.0
midwich cuckoos,1957.0
senilità,1898.0
memories of rain,1992.0
veronika decides to die,1998.0
all souls,1987.0
pilgrimage,1967.0
on love,1993.0
arcadia,1992.0
lives of girls and women,1971.0
manon des sources,1963.0
nowhere man,2002.0
back room,1978.0
heinrich of ofterdingen,1802.0
life of insects,1997.0
fear of flying,1973.0
broken april,1978.0
things,1965.0
down there,1891.0
last temptation of christ,1955.0
eline vere,1889.0
a question of power,1973.0
manor,1967.0
adam bede,1859.0
cheese,1933.0
tirant lo blanc,1490.0
castle of crossed destinies,1973.0
life and death of harriett frean,1922.0
dictionary of the khazars,1984.0
broad and alien is the world,1941.0
silence,1966.0
hothouse,1953.0
twins,1993.0
bridge on the drina,1945.0
paradise of the blind,1988.0
martín fierro,1872.0
evelina,1778.0
120 days of sodom,1785.0
devil's pool,1846.0
to the north,1932.0
quartet in autumn,1977.0
melancholy of resistance,1989.0
crome yellow,1921.0
cain,2009.0
a sentimental journey through france and italy,1768.0
summer book,1972.0
end of the story,1995.0
time of silence,1962.0
"here's to you, jesusa!",1969.0
a kestrel for a knave,1968.0
no laughing matter,1967.0
carry me down,2006.0
beautiful mrs. seidenman,1986.0
black dahlia,1987.0
travels of persiles and sigismunda,1617.0
life of christ,1921.0
lady number thirteen,2003.0
king lear of the steppes,1870.0
a boy's own story,1982.0
"kieron smith, boy",2008.0
dirk gently's holistic detective agency,1987.0
engineer of human souls,1977.0
sound of waves,1954.0
typical,1991.0
inside mr. enderby,1963.0
on the black hill,1982.0
death in rome,1954.0
glass bees,1957.0
amadis of gaul,1304.0
return of the soldier,1918.0
bosnian chronicle,1945.0
quest,1885.0
bébo's girl,1960.0
dead father,1975.0
marius the epicurean,1885.0
retreat without song,1929.0
solaris,1961.0
clear light of day,1980.0
taebaek sanmaek,1986.0
drunkard,1877.0
guiltless,1950.0
sea of fertility,1970.0
cider house rules,1985.0
claudine,1922.0
lion of flanders,1838.0
"one, no one and one hundred thousand",1926.0
floating opera,1956.0
graduate,1963.0
mysteries of udolpho,1794.0
river between,1965.0
autumn of the patriarch,1975.0
lost language of cranes,1986.0
expedition of humphry clinker,1771.0
"love in excess; or, fatal enquiry",1720.0
baltasar and blimunda,1982.0
burger's daughter,1979.0
i'm not scared,2001.0
hell,1908.0
female quixote,1752.0
shadow lines,1988.0
larva,1984.0
moscow-petushki,1969.0
four quartets,1943.0
family life,2014.0
what belongs to you,2016.0
winter's bone,1999.0
honored guest,2004.0
magic for beginners,2005.0
out stealing horses,2003.0
intuitionist,1999.0
ghost road,1995.0
house made of dawn,1968.0
remainder,2005.0
lincoln in the bardo,2017.0
alienist,1994.0
talk before sleep,1994.0
rubyfruit jungle,1973.0
tree of smoke,2007.0
education of little tree,1976.0
last samurai,2000.0
chaneysville incident,1981.0
netherland,2009.0
black beauty,1877.0
white fang,1906.0
bring up the bodies,2012.0
nickel boys,2019.0
magic barrel,1958.0
dombey and son,1848.0
captain hornblower r.n.,1937.0
little stranger,2009.0
lovely bones,2002.0
collected poems of ted hughes,2003.0
europe central,2005.0
martian,2011.0
jurassic park,1990.0
fifty shades of grey,2011.0
help,2009.0
bone people,1984.0
beautiful and damned,1922.0
collected plays of w.b. yeats,1939.0
dreamtigers,1960.0
monsignor quixote,1982.0
carrie,1974.0
vendor of sweeets,1967.0
tender buttons,1914.0
eight men,1961.0
short friday,1991.0
open secrets,1994.0
eustace diamonds,1871.0
bone is pointed,1938.0
my book house,1921.0
mysteries,1892.0
innocence of father brown,1911.0
complete works of nathanael west,1940.0
portable faulkner,1946.0
amelia,1751.0
school for wives,1662.0
would-be invalid,1673.0
snowy day,1962.0
strange fruit,1944.0
negro caravan,1941.0
death of a lake,1954.0
poorhouse fair,1959.0
complete plays of t. s. eliot,1965.0
seance and other stories,1991.0
cat in the hat,1957.0
richard trilogy,1990.0
requiem,1935.0
women in their beds,1997.0
mother courage and her children,1939.0
herland,
"horseman, pass by",1961.0
confessions of a mask,1949.0
renascence and other poems,1917.0
collected stories of katherine anne porter,1965.0
fortunes of richard mahony,1929.0
peyton place,1956.0
war poems of siegfried sassoon,1919.0
bride price,1975.0
billy bathgate,1989.0
shahnameh,1010.0
a rose for emily,1930.0
times are never so bad,1983.0
short happy life of francis macomber,1936.0
milkman,2018.0
loneliness of the long-distance runner,1959.0
would-be gentleman,1670.0
prince and the pauper,1881.0
dark symphony,
walden two,1948.0
guerrillas,1975.0
body rags,1968.0
don juan,1821.0
alcestis,-438.0
prussian officer,1914.0
best of simple,1961.0
beast in the jungle,1903.0
march,2005.0
shadows on the rock,1931.0
of time and the river,1935.0
inimitable jeeves,1923.0
blithedale romance,1852.0
iceman cometh,1939.0
beauty and sadness,1964.0
miser,1668.0
age of anxiety,1947.0
wild swans at coole,1917.0
burmese days,1934.0
"sarah, plain and tall",1985.0
plum in the golden vase,1610.0
improvement,2017.0
english teacher,1945.0
mysterious affair at styles,1920.0
augustus,1973.0
follow the river,1981.0
haroun and the sea of stories,1990.0
in the time of the butterflies,1994.0
jewel in crown,1966.0
flicker,1991.0
merry adventures of robin hood,1883.0
a legacy,1956.0
in the heart of the heart of the country,1968.0
executioner's song,1980.0
a wild sheep chase,1982.0
memoirs of a survivor,1974.0
northern lights,1995.0
dog,
dwarf,1945.0
book-dealer who ceased bathing,1937.0
second-class citizen,1974.0
man without a way,
emperor of portugallia,1914.0
emigrants,1949.0
rhythms,
they burn the thistles,1969.0
collected poems,
early stories,2004.0
road to klockrike,1948.0
barefoot,
samuels bok,1981.0
stockholm series,1960.0
after the flood,1982.0
"mio, my son",1954.0
days of his grace,1960.0
bathsheba,
baron in the trees,1957.0
long ships,1941.0
women's room,1977.0
serious game,1912.0
kallocain,1940.0
bells of bicêtre,
hotel du lac,1984.0
doctor glas,1905.0
werewolf,
queen's tiara,1834.0
flowering nettle,1935.0
wind on the moon,1944.0
czar's madman,1978.0
bridge to terabithia,1977.0
death of a salesman,1949.0
prufrock and other observations,1917.0
power of one,1989.0
point counter point,1928.0
voyages of doctor dolittle,1922.0
little engine that could,1930.0
song of hiawatha,1855.0
forever,2003.0
scarlet plague,1915.0
miss susie slagle's,1939.0
story of ferdinand,1936.0
little grey men,1942.0
edmund dulac's fairy-book,1953.0
island within,1928.0
warlord of mars,1913.0
miss pickerell goes to mars,1951.0
smoky the cowhorse,1927.0
cloister and the hearth,1861.0
moon is down,1942.0
snow flower and the secret fan,2005.0
persepolis two,2001.0
secret garden,1911.0
busman’s honeymoon,1937.0
moon is a harsh mistress,1966.0
baudolino,2000.0
poetry of ezra pound,1972.0
affliction,1997.0
chronicle of a death foretold,1981.0
leaving the atocha station,2011.0
obasan,1981.0
divine secrets of the ya-ya sisterhood,1996.0
tenth of december,2013.0
mason and dixon,1997.0
girl in hyacinth blue,1999.0
wise children,1991.0
ice-candy-man,
riders,1985.0
house at pooh corner,
american gods,2001.0
commitments,1987.0
black book,1990.0
seventh cross,1942.0
real life of sebastian knight,1941.0
happy moscow,
knots and crosses,1987.0
emily of new moon,1923.0
first love,1860.0
diary of a wimpy kid,
poems of alfred lord tennyson,1892.0
v for vendetta,1982.0
three-arched bridge,1978.0
story of tracy beaker,1991.0
ballet shoes,1936.0
home fire,2017.0
another country,1984.0
14-aug,1971.0
goodnight mister tom,1981.0
la saga/ fuga de j. b./ saga/ escape of j.b.,1972.0
forever...,1975.0
astonishing the gods,1995.0
city of bohane,2011.0
édes anna,1991.0
siebenkäs,1796.0
journey by moonlight,1937.0
stone raft,1986.0
worst witch,1974.0
kalevala,1835.0
enchanted wood,1939.0
years with laura diaz,1999.0
stories of adalbert stifter,1868.0
track,
garlic ballads,
collected songs of cold mountain,1985.0
schatzkästlein des rheinischen hausfreundes,1811.0
my city,
boy in the striped pyjamas,2006.0
"psmith, journalist",1909.0
habibi,2011.0
tiger who came to tea,1968.0
golden compass,
strumpet city,1969.0
counterlife,1986.0
cutting for stone,
gift,1938.0
"memed, my hawk",1955.0
stories from the lord keuner,1926.0
half brother,2011.0
book of songs,1937.0
very hungry caterpillar,
stories,1777.0
soul and other stories,
collected stories of heinrich boll,1948.0
rings of saturn,1998.0
operation shylock,1993.0
count julian,1970.0
we're going on a bear hunt,1989.0
italian folktales,1956.0
far pavilions,1978.0
identity,1998.0
lonely passion of judith hearne,1955.0
sorrow of war,1990.0
"tootinameh; or, tales of a parrot",1560.0
golden child,2018.0
old curiosity shop,1941.0
artemis fowl,2001.0
henry v,1599.0
dissolution,2003.0
lenz,1839.0
somersault,1999.0
a series of unfortunate events #1,
american war,2017.0
"breath, eyes, memory",
witches,
burn,1975.0
sudelbücher,
cloudstreet,1991.0
poor cow,1967.0
valley of the dolls,
much ado about nothing,1599.0
"and where were you, adam?",1951.0
soul mountain,1990.0
antiworlds,
life and fate,1959.0
gruffalo,1999.0
return and other stories,
mr standfast,1919.0
stormbreaker,2000.0
dog star,
"percy jackson and the olympians, book one",
a tomb for boris davidovich,1976.0
dancing girl of izu and other stories,1929.0
skeleton,1950.0
"abu telfan, return from the mountains of the moon",1867.0
le roman de la rose,1230.0
querelle,1947.0
royal physician's visit,1999.0
kaputt,
swami and friends,1935.0
forty rules of love,2009.0
loyal subject,1918.0
teahouse,1957.0
where the sidewalk ends,
living up street,1985.0
what we talk about when we talk about love,1981.0
a patchwork planet,1998.0
sold,2006.0
shogun,1975.0
nightmare abbey,1818.0
before we were free,2002.0
erasure,2001.0
all my puny sorrows,2014.0
zone one,2011.0
ooga-booga,2006.0
veronica,2005.0
particular sadness of lemon cake,2010.0
possessed,2010.0
mr. fox,2011.0
white girls,2013.0
do everything in the dark,2003.0
lives other than my own,2011.0
black and blur,2017.0
bonesetter's daughter,2001.0
under western eyes,1911.0
dawn,1961.0
dreaming in cuban,1992.0
misery,1987.0
phantom of the opera,1909.0
purple hibiscus,2003.0
"ties that bind, ties that break",1999.0
fried green tomatoes,1991.0
tisha,1976.0
a book of luminous things,1996.0
christy,1967.0
book of salt,2003.0
hate u give,2017.0
ghachar ghochar,2017.0
a constellation of vital phenomena,2013.0
wizard of the crow,2006.0
taipei,2013.0
maddaddam trilogy,2003.0
oblivion,2004.0
capital,2012.0
spreadeagle,2010.0
seven years,2011.0
broken earth trilogy,2015.0
lazarus project,2008.0
sluts,2005.0
red clocks,2018.0
time of our singing,2002.0
needle's eye,2016.0
last report on the miracles at little no horse,2001.0
eat the document,2006.0
super sad true love story,2010.0
boyhood,1997.0
largesse of the sea maiden,2018.0
notes from no man's land,2009.0
home land,2004.0
sleeping it off in rapid city,2008.0
all grown up,2017.0
fine just the way it is,2008.0
no. 1 ladies' detective agency,1998.0
retold african american folktales,
tobacco road,1932.0
boy's life,1991.0
born confused,2002.0
chesapeake,1978.0
chanda's secrets,2004.0
how green was my valley,1939.0
enormous changes at the last minute,1974.0
city of the beasts,2002.0
ginger man,1955.0
crow lake,2002.0
bread givers,
anil's ghost,2000.0
talisman,1825.0
"he, she and it",1991.0
selected poems ii,1986.0
a dog's purpose,2010.0
through the language glass,
collected poems,1984.0
darkness spoken,1994.0
river of fire,1959.0
beautyful ones are not yet born,1968.0
"selected poems, 1965-1975",1975.0
physician,1986.0
farming of bones,1998.0
ecotopia,1975.0
candida,1894.0
palace of the peacock,1960.0
sea-wolf,1904.0
mr. sammler's planet,1970.0
brooklyn,2009.0
anecdotes of destiny,1958.0
world's fair,1985.0
it,1986.0
larose,2016.0
all the light we cannot see,2014.0
a lesson before dying,1993.0
morte d'urban,1962.0
let the great world spin,2009.0
orphan master's son,2012.0
echo maker,2006.0
chimera,1972.0
burr,1973.0
collected stories of jean stafford,1970.0
breathing lessons,1988.0
empire falls,2001.0
tales from the kathasaritsagara,1070.0
three men in a boat,1889.0
far tortuga,1875.0
iron heel,1908.0
twilight of the superheroes,2006.0
killshot,1989.0
mislaid,2015.0
railway children,1906.0
chronicles of barsetshire,1855.0
swallows and amazons,1930.0
where the red fern grows,1961.0
flowers in the attic,1979.0
swan song,1987.0
vegetarian,2007.0
ballad of peckham rye,1960.0
ready player one,2011.0
looking for alaska,2005.0
ghost,2016.0
odes,1927.0
her body and other parties,2017.0
murders in the rue morgue,1841.0
essential dykes to watch out for,2008.0
notebook,1996.0
doña bárbara,1929.0
this present darkness,1986.0
wheel of time series,1984.0
jonathan livingston seagull,1970.0
hunt for red october,1984.0
petals of blood,1977.0
wine of astonishment,1982.0
red dragon,1981.0
shack,2007.0
left behind,1995.0
mind invaders,1989.0
"i, alex cross",2009.0
histoire de babar,1931.0
plantagenet saga,1976.0
hatchet,1987.0
watchers,1987.0
coldest winter ever,1999.0
homesick for another world,2017.0
real life of alejandro mayta,1986.0
american innovations,2014.0
nothing like the sun,1964.0
petersburg,1913.0
beat the devil,1951.0
indian lawyer,1990.0
white hotel,1981.0
ordeal of gilbert pinfold,1957.0
light years,1976.0
almanac of the dead,1991.0
moravagine,1926.0
novel on yellow paper,1936.0
stranger things happen,2001.0
a feast of snakes,1976.0
narrative of arthur gordon pym,1838.0
vida,1975.0
manuscript found in saragossa,1805.0
flatland,1884.0
a canticle for leibowitz,1961.0
a place of greater safety,1992.0
animal dreams,1990.0
mask of dimitrios,1944.0
mrs palfrey at the claremont,1971.0
sea of poppies,2008.0
our lady of the flowers,1943.0
julian,1964.0
bfg,1982.0
killer inside me,1952.0
an american dream,1965.0
as you like it,1623.0
bloody chamber and other stories,1979.0
kidnapped,1886.0
glass menagerie,1944.0
venus in furs,1870.0
ceremony,1977.0
julius caesar,1599.0
poems of sappho,-570.0
party going,1939.0
gogol's wife,1963.0
poems of wilfred owen,1920.0
sportswriter,1986.0
assistant,1957.0
selected stories,1930.0
selected poems of lord byron,1824.0
if he hollers let him go,1945.0
matterhorn,2009.0
last good kiss,1978.0
storyteller,1987.0
ray,1980.0
tripmaster monkey,1989.0
golden gate,1986.0
o pioneers!,1913.0
gateway,1977.0
machine dreams,1984.0
two serious ladies,1946.0
bostonians,1886.0
mr. american,1980.0
dogs of march,1979.0
deceivers,1952.0
this side of paradise,1920.0
king must die,1958.0
sleeping beauty,1973.0
at play in the fields of the lord,1965.0
house of splendid isolation,1994.0
lucy,1990.0
where angels fear to tread,1905.0
greenmantle,1916.0
dealing with dragons,1990.0
rapture,2005.0
hard-boiled wonderland and the end of the world,1985.0
"raise high the roof beam, carpenters",1963.0
shadow and claw,
man who was thursday,1908.0
black sheep,1966.0
normal people,2018.0
woodcutters,1985.0
book of the new sun,1983.0
good omens,1990.0
theogony,-700.0
you shall know our velocity,2002.0
been down so long it looks like up to me,1966.0
"little, big",1981.0
jayber crow,2000.0
devil in a blue dress,1990.0
drown,1996.0
blue sword,1982.0
a little princess,1905.0
conservationist,1974.0
a bell for adano,1944.0
march,2005.0
eighth day,1967.0
so big,1924.0
victory over japan,1983.0
redeployment,2014.0
behold the dreamers,2016.0
sea monsters,2019.0
lamb in his bosom,1933.0
in this our life,1941.0
heat and dust,1975.0
moon tiger,1987.0
less,2017.0
lion and the mouse,2009.0
binocular vision,2011.0
collected stories of deborah eisenberg,2011.0
holiday,1974.0
martin dressler,1996.0
foreign affairs,1984.0
reivers,1963.0
able mclaughlins,1923.0
fortune smiles,2015.0
honey in the horn,1935.0
years of grace,1930.0
laughing boy,1929.0
mrs. ted bliss,1995.0
a frolic of his own,1994.0
kate vaiden,1986.0
way west,1949.0
elbow room,1977.0
journey in the dark,1943.0
call me zebra,2018.0
advise and consent,1959.0
hair of harold roux,1974.0
everyman,2006.0
spartina,1988.0
a crown of feathers and other stories,1973.0
staying on,1977.0
finkler question,2010.0
dusk,1989.0
a summons to memphis,1986.0
steps,1968.0
great man,2007.0
war trash,2004.0
travels of jaimie mcpheeters,1958.0
bear comes home,1997.0
collected poems,2012.0
my name is lucy barton,2016.0
how german is it,1981.0
middle passage,1990.0
testaments,2019.0
keepers of the house,1964.0
george mills,1982.0
everything begins and ends at the kentucky club,2012.0
wonderful story of henry sugar,1977.0
absolutely true diary of a part-time indian,2007.0
saville,1976.0
october light,1976.0
early autumn,1926.0
lord of misrule,2010.0
ten north frederick,1955.0
his family,1917.0
"girl, woman, other",2019.0
middleman and other stories,1988.0
postcards,1992.0
something to answer for,1969.0
paris trout,1987.0
lila,2014.0
overstory,2018.0
plains song,1980.0
soldiers in hiding,1987.0
everything inside,2019.0
motherless brooklyn,1999.0
being dead,1999.0
town,1950.0
edge of sadness,1961.0
buddha in the attic,2011.0
complete fairy tales of charles perrault,1703.0
war dances,2009.0
olive kitteridge,2008.0
sent for you yesterday,1983.0
store,1932.0
a good scent from a strange mountain,1992.0
we are all completely beside ourselves,2013.0
in america,1999.0
round house,2012.0
tinkers,2009.0
caprices,2003.0
news from paraguay,2004.0
paco's story,1986.0
elected member,1969.0
delicious foods,2016.0
caine mutiny,1951.0
scarlet sister mary,1928.0
brown girl dreaming,2014.0
now in november,1934.0
waters of kronos,1960.0
love of a good woman,1998.0
dragon's teeth,1942.0
luminaries,2013.0
good lord bird,2013.0
blood tie,1977.0
philadelphia fire,1990.0
magic toyshop,1967.0
shuggie bain,2020.0
mambo kings play songs of love,1989.0
offshore,1979.0
hamnet,2020.0
year of the french,1979.0
a perfect spy,1986.0
field of vision,1956.0
resurrection,1899.0
collected poems,2005.0
three junes,2002.0
spectator bird,1976.0
seaview,1983.0
speak,1999.0
rites of passage,1980.0
old forest,1986.0
sacred hunger,1992.0
alice adams,1921.0
charming billy,1997.0
ship fever and other stories,1995.0
shadow country,2008.0
late george apley,1937.0
collected stories,1994.0
centaur,1963.0
guard of honor,1948.0
one of ours,1922.0
barracks thief,1984.0
dart,2002.0
fifth season,2015.0
gambler,1867.0
voyeur,1953.0
dying earth,1950.0
galileo,1945.0
american,1877.0
cane,1923.0
men without women,1927.0
libra,1988.0
trickster of seville and his guest of stone,1630.0
mensagem,1934.0
roots,1977.0
winter's tale,1983.0
pursuit of love,1945.0
a new life,1961.0
city of salt,1987.0
bastard of istanbul,2006.0
palace of desire,1957.0
palace walk,1956.0
sugar street,1957.0
waverley,1814.0
rhinoceros and other plays,1959.0
snow country,1935.0
heather blazing,1992.0
an accidental man,1971.0
waiting for the mahatma,1955.0
cities of the red night,1981.0
illustrious house of ramires,1900.0
my life and my life in the nineties,1980.0
bottle factory outing,1974.0
rachel papers,1973.0
ballad of the sad cafe,1951.0
sweet days of discipline,1989.0
"i, tituba, black witch of salem",1986.0
periodic table,1975.0
loser,1983.0
distant star,1996.0
spoils of poynton,1897.0
l.a. confidential,1990.0
stoner,1965.0
cold nights,1947.0
woman in the dunes,1964.0
daughter of time,1951.0
valis,1981.0
black swan,1954.0
falconer,1977.0
miss julie,1888.0
john wesley's sermons,1791.0
the invisible man,1897.0
nicholas nickleby,1838.0
short stories of thomas hardy,1928.0
a spy in house of love,1954.0
hangover square,1941.0
stories,
subterraneans,1958.0
early novels and stories,1987.0
everyman,1510.0
pioneers,1823.0
ubik,1969.0
volpone,1606.0
winter's tale,1623.0
stories of vladimir nabokov,1977.0
new atlantis,1627.0
rape of the lock,1712.0
twelve labours of hercules,-600.0
hearts and lives of men,1987.0
quest for the golden fleece,-300.0
a reckless character and other stories,1883.0
song of roland,1040.0
an enemy of the people,1882.0
spoon river anthology,1915.0
bridge,1930.0
works and days,-700.0
reynard the fox,1148.0
vile bodies,1930.0
sonnets from the portuguese,1850.0
master of ballantrae,1889.0
poem of the cid,1195.0
poems of emily bronte,1850.0
an essay on man,1734.0
father,1887.0
painted bird,1965.0
orlando furioso,1516.0
unicorn,1963.0
protocols of the elders of zion,1905.0
works of walter savage landor,1864.0
diamonds are forever,1956.0
collected poems of a. e. housman,1939.0
poems of matsuo bashō,1694.0
penguin island,1908.0
from russia with love,1957.0
two essays on analytical psychology,1953.0
cat on a hot tin roof,1955.0
orpheus and eurydice,8.0
water music,1982.0
berlin stories,1946.0
benito cereno,1855.0
stories of nikolai gogol,1852.0
green knight,1993.0
collected poems of theodore roethke,1963.0
poetry of alexander pushkin,1837.0
remorseful day,1999.0
thyestes,62.0
she,1887.0
i wish someone were waiting for me somewhere,2003.0
autumn,2016.0
wonder boys,1995.0
earth abides,1949.0
house of leaves,2000.0
green road,2015.0
levels of life,2013.0
human chain,2010.0
night watch,2002.0
haunting of hill house,1959.0
on beauty,2005.0
books of blood,1985.0
i am legend,1954.0
fates and furies,2015.0
tales of h. p. lovecraft,1937.0
station eleven,2014.0
silence of the girls,2018.0
haunted,2005.0
going native,1994.0
constant gardener,2001.0
stories of ray bradbury,2010.0
infatuations,2011.0
notes on a scandal,2003.0
exit west,2017.0
drive your plow over the bones of the dead,2009.0
signs preceding the end of the world,2009.0
electric michelangelo,2004.0
stories of your life and others,2002.0
ghostwritten,1999.0
harvest,2013.0
coraline,2002.0
sixty stories,1981.0
selected stories of philip k. dick,1982.0
case histories,2007.0
that they may face the rising sun,2001.0
visitation,2008.0
light,2002.0
siege,2001.0
accidental,2005.0
darkmans,2007.0
a little life,2015.0
broken glass,2005.0
no country for old men,2005.0
statement,1995.0
splendors and miseries of courtesans,1847.0
where i'm calling from,1988.0
cities of the plain,1998.0
shadow of the wind,2001.0
physicists,1962.0
"farewell, my lovely",1940.0
castle gripsholm,1931.0
success,1930.0
crossing,1994.0
clown,1963.0
betty blue,1985.0
shadows on the hudson,1957.0
day of the jackal,1971.0
last days of mankind,1922.0
nathan the wise,1779.0
alberta empfängt einen liebhaber,1997.0
cat's eye,1988.0
hunting gun,1949.0
good person of szechwan,1943.0
animals' conference,
der fall mauritius,1928.0
die neuen leiden des jungen w.,1972.0
don carlos,1787.0
"south of the border, west of the sun",1992.0
little fires everywhere,2017.0
secret scripture,2008.0
clockers,1992.0
jonathan strange and mr norrell,2004.0
edward lear's book of nonsense,1846.0
a sport and a pastime,1967.0
circe,2018.0
public burning,1977.0
masterworks of the classical haida mythtellers,2002.0
mystic river,2001.0
ticket that exploded,1962.0
soft machine,1961.0
nova express,1964.0
take it or leave it,1976.0
say you’re one of them,2008.0
swamplandia!,2011.0
black water,1992.0
words,1946.0
blue lotus,1936.0
leavers,2017.0
wife of martin guerre,1941.0
asterix the gaul,1961.0
bald soprano,1959.0
way of kings,2010.0
abyss,1968.0
rifles,1994.0
